1,2,3
1,4,7
1,5,8
1,6,11
1,9,12
1,13,20
1,14,16
1,15,29
1,17,18
1,21,25
1,22,23
1,24,27
1,26,36
1,30,31
1,32,38
1,33,35
1,34,40
1,39,42
1,43,45
2,4,6
2,5,9
2,7,8
2,10,11
2,12,13
2,14,26
2,15,28
2,16,17
2,18,24
2,19,30
2,20,21
2,22,27
2,23,35
2,25,32
2,29,36
2,31,33
2,34,45
2,37,40
2,39,43
2,41,42
3,4,5
3,6,9
3,7,11
3,8,13
3,10,17
3,12,23
3,14,25
3,15,27
3,16,20
3,18,22
3,19,21
3,24,28
3,26,30
3,29,44
3,31,32
3,33,34
3,36,38
3,39,41
3,40,43
3,42,45
4,8,11
4,9,13
4,10,16
4,12,20
4,14,24
4,15,19
4,17,25
4,18,21
4,22,30
4,23,26
4,27,34
4,28,38
4,29,39
4,31,41
4,32,37
4,33,36
4,35,42
5,6,7
5,10,13
5,11,17
5,12,19
5,14,22
5,15,25
5,16,18
5,20,24
5,21,30
5,23,45
5,26,29
5,27,28
5,31,39
5,32,36
5,34,42
5,35,43
5,37,41
5,38,44
6,8,10
6,12,18
6,13,17
6,14,27
6,15,20
6,16,25
6,19,32
6,21,28
6,22,35
6,23,34
6,24,29
6,26,31
6,30,38
6,36,37
6,39,45
6,41,44
7,9,19
7,10,15
7,12,17
7,13,24
7,14,21
7,16,36
7,18,28
7,20,25
7,22,33
7,23,30
7,26,37
7,27,32
7,29,41
7,34,35
7,38,45
7,43,44
8,9,31
8,12,16
8,14,15
8,17,21
8,18,25
8,19,20
8,22,28
8,23,24
8,26,33
8,27,30
8,29,32
8,34,38
8,36,41
8,37,39
9,10,21
9,11,22
9,14,17
9,15,40
9,16,23
9,18,26
9,20,33
9,24,32
9,25,38
9,27,43
9,28,35
9,29,34
9,30,37
9,36,44
10,12,14
10,18,29
10,20,22
10,23,25
10,24,36
10,26,27
10,30,33
10,31,34
10,32,35
10,38,40
11,12,34
11,13,15
11,14,30
11,16,21
11,18,27
11,19,26
11,20,37
11,23,36
11,24,33
11,25,39
11,28,29
11,31,40
11,32,44
11,35,45
11,42,43
12,15,22
12,21,32
12,24,35
12,25,27
12,26,39
12,28,41
12,29,40
12,31,36
12,33,45
12,37,43
12,38,42
13,14,19
13,16,37
13,18,23
13,21,29
13,22,34
13,25,36
13,26,38
13,27,33
13,28,32
13,30,41
13,40,42
14,18,33
14,20,34
14,28,36
14,29,42
14,31,45
14,35,38
15,16,31
15,17,30
15,18,32
15,21,35
15,23,38
15,24,41
15,26,43
15,36,39
15,44,45
16,19,22
16,26,32
16,27,38
16,28,33
16,29,30
17,19,41
17,20,23
17,22,42
17,24,31
17,27,36
17,28,39
17,32,33
17,38,43
18,19,35
18,30,42
18,31,44
18,40,41
19,23,27
19,24,25
19,29,31
19,33,39
19,36,42
19,40,44
20,26,28
20,27,35
20,30,36
20,31,42
20,32,39
20,40,45
21,22,24
21,26,45
21,27,40
21,34,36
21,42,44
22,25,43
22,26,41
22,29,37
23,28,31
23,29,43
23,32,40
23,37,44
24,26,44
24,30,40
24,37,45
25,29,33
25,30,35
25,31,37
28,30,43
28,34,44
30,32,34
33,38,41
