1,2,3,4,5
1,2,6,7,11
1,2,13,24,35
1,2,34,40,41
1,2,38,42,43
1,3,11,13,21
1,3,22,34,36
1,3,30,38,40
1,4,6,24,26
1,4,7,10,13
1,4,9,36,41
1,4,17,20,33
1,4,18,32,35
1,4,21,25,42
1,5,9,13,17
1,5,14,21,30
1,5,22,26,43
1,6,9,40,43
1,6,15,20,29
1,7,17,26,36
1,7,21,32,41
1,8,14,27,40
1,8,15,26,33
1,11,12,29,39
1,12,23,32,43
1,13,14,25,26
1,13,20,32,39
1,18,23,40,45
1,22,24,42,44
1,34,35,44,45
2,3,6,19,35
2,3,7,17,27
2,3,8,14,20
2,3,9,10,16
2,3,13,23,37
2,3,24,25,26
2,4,6,8,10
2,4,7,9,45
2,4,12,14,24
2,5,6,43,45
2,5,7,10,15
2,5,8,24,44
2,5,9,21,28
2,5,14,26,38
2,5,16,19,33
2,5,18,31,34
2,6,23,30,40
2,7,8,12,42
2,7,13,18,29
2,7,14,33,40
2,7,34,39,44
2,8,13,19,30
2,8,15,21,34
2,8,16,39,45
2,8,18,37,43
2,8,22,27,33
2,8,29,35,41
2,10,13,36,44
2,10,14,18,22
2,11,12,21,37
2,11,14,23,35
2,11,20,29,38
2,11,27,31,43
2,12,20,23,44
2,12,34,35,36
2,13,26,34,45
2,15,18,23,28
2,16,28,30,42
2,17,22,37,42
2,19,26,36,43
2,20,25,40,45
2,21,23,25,27
3,4,8,12,16
3,4,15,26,37
3,4,28,35,42
3,5,7,9,11
3,5,8,13,33
3,5,10,29,45
3,5,15,27,39
3,5,17,19,31
3,6,9,12,15
3,6,10,20,27
3,6,13,29,32
3,6,22,25,44
3,6,39,42,45
3,7,13,40,44
3,8,15,23,43
3,8,18,28,38
3,9,19,29,39
3,9,22,35,41
3,9,23,26,40
3,10,14,31,38
3,10,17,24,41
3,10,23,28,39
3,11,14,34,45
3,11,16,24,35
3,11,19,27,40
3,11,28,32,44
3,12,13,25,35
3,12,21,30,39
3,14,17,25,37
3,15,19,36,44
3,22,32,38,42
3,24,30,36,42
3,31,35,39,43
4,5,6,15,16
4,5,11,42,43
4,5,23,24,25
4,5,26,27,28
4,5,39,44,45
4,6,9,20,25
4,6,11,29,31
4,6,12,35,43
4,7,11,17,39
4,7,15,24,32
4,7,20,23,36
4,7,21,30,35
4,7,25,28,31
4,8,22,25,39
4,9,10,14,15
4,9,18,29,34
4,9,23,28,33
4,9,32,37,44
4,10,16,22,28
4,10,21,27,38
4,10,24,29,35
4,11,18,25,38
4,11,21,28,45
4,12,15,20,41
4,12,31,36,44
4,13,16,25,37
4,13,21,22,31
4,14,16,23,42
4,17,23,30,43
4,33,37,41,45
5,6,7,28,29
5,8,9,29,32
5,8,11,14,17
5,8,15,18,25
5,8,19,22,36
5,8,31,39,42
5,9,12,19,44
5,10,18,21,42
5,10,19,24,38
5,10,22,30,35
5,11,18,24,37
5,11,22,33,39
5,12,17,29,38
5,12,24,31,43
5,13,21,29,37
5,13,22,34,42
5,14,23,32,41
5,15,20,30,40
5,16,17,28,39
5,16,24,32,40
5,18,30,38,43
5,21,22,27,44
5,21,31,40,41
6,7,8,9,14
6,7,16,26,42
6,9,18,30,42
6,10,15,26,35
6,11,16,17,34
6,11,19,32,43
6,11,23,25,37
6,11,28,33,38
6,12,13,19,26
6,12,14,20,22
6,12,23,28,45
6,13,20,37,44
6,13,31,38,45
6,14,19,27,30
6,15,24,33,42
6,16,23,33,43
6,18,22,26,31
6,18,32,37,39
6,22,27,29,34
7,8,29,30,31
7,8,39,40,41
7,9,17,19,42
7,9,21,38,40
7,10,17,20,45
7,10,19,31,43
7,11,15,19,23
7,11,16,25,43
7,12,16,17,21
7,12,27,32,37
7,13,14,24,41
7,15,20,28,39
7,16,27,36,41
7,18,19,30,41
7,18,20,33,35
7,18,25,32,42
7,19,26,33,45
7,24,28,35,45
8,9,10,11,12
8,9,41,42,43
8,10,16,18,24
8,10,28,30,32
8,10,33,43,45
8,11,21,24,40
8,12,24,28,37
8,13,26,31,36
8,14,15,36,37
8,15,22,30,38
8,17,26,35,44
8,20,32,33,44
8,21,25,29,33
8,27,34,38,42
8,30,36,40,43
9,10,20,34,44
9,10,31,32,33
9,12,14,34,37
9,12,16,35,38
9,12,21,33,45
9,12,25,28,41
