1,2,3,4,5,6,7,8,9,10
1,2,3,4,11,12,13,21,22,31
1,2,3,4,24,25,26,27,28,29
1,2,5,15,16,19,29,30,33,36
1,2,6,7,11,16,34,38,42,43
1,2,7,13,18,19,24,30,35,41
1,2,8,9,16,21,27,28,35,42
1,2,8,14,20,22,26,28,34,40
1,2,10,18,23,26,30,31,38,39
1,2,12,15,17,28,31,33,41,44
1,3,5,7,16,21,23,25,41,43
1,3,5,9,34,36,38,40,42,44
1,3,6,10,15,22,27,34,39,43
1,3,6,14,16,19,30,32,35,45
1,3,9,12,14,20,26,29,31,37
1,4,6,8,11,13,18,37,42,44
1,4,6,13,15,24,26,31,35,40
1,4,7,10,11,13,14,17,20,23
1,4,7,12,15,18,21,29,32,35
1,4,9,14,22,27,31,36,40,41
1,5,6,12,16,17,23,27,28,39
1,5,8,11,19,22,29,32,40,43
1,5,9,11,15,19,23,27,31,35
1,5,9,13,17,21,25,29,33,37
1,6,9,14,17,22,30,33,38,43
1,7,13,19,20,26,32,33,39,45
1,10,11,12,22,23,33,34,44,45
1,11,14,17,18,28,31,32,42,45
1,12,16,20,24,28,32,36,38,42
1,15,16,17,18,19,20,21,44,45
1,16,25,26,34,35,36,43,44,45
1,24,27,30,33,34,36,37,40,43
2,3,6,19,20,23,27,31,40,44
2,3,8,13,25,26,30,31,36,41
2,3,10,18,21,28,29,36,37,44
2,3,13,14,17,24,27,35,37,38
2,3,17,21,25,35,39,40,43,44
2,4,5,16,18,20,21,34,36,41
2,4,6,8,29,31,33,34,36,38
2,4,6,10,35,37,39,41,43,45
2,4,7,14,21,23,28,33,40,42
2,5,6,12,14,21,25,31,32,40
2,5,10,13,15,18,23,28,34,42
2,5,10,17,22,27,32,37,42,45
2,5,12,15,22,25,28,35,38,45
2,6,11,14,18,22,26,27,31,43
2,8,16,19,25,27,33,39,41,45
2,9,11,17,19,26,28,30,37,45
2,9,11,18,20,27,29,36,38,45
2,10,12,14,16,24,26,33,43,45
2,11,12,16,25,26,30,39,40,42
3,4,5,6,14,15,16,25,26,36
3,4,7,8,12,22,26,30,44,45
3,4,8,15,20,31,32,36,37,44
3,4,9,10,23,24,29,30,43,44
3,4,11,26,33,34,35,40,41,42
3,5,8,11,16,34,37,39,42,45
3,5,10,17,22,24,29,36,38,41
3,7,9,13,15,19,21,25,31,42
3,7,10,13,20,27,34,38,41,45
3,7,10,23,26,29,36,39,42,45
3,7,11,15,23,24,32,34,40,44
3,8,9,18,19,28,33,38,43,44
3,8,20,23,25,28,29,33,40,45
3,10,14,19,26,30,33,37,41,44
4,5,8,10,13,18,30,33,35,38
4,6,7,17,18,27,28,29,38,40
4,6,8,10,12,14,16,18,20,22
4,7,9,12,25,28,30,31,33,36
4,7,9,15,20,26,27,32,38,43
4,8,11,15,22,28,29,35,36,42
4,10,14,20,24,30,34,35,42,45
4,13,14,18,19,24,34,38,39,44
5,6,7,21,22,23,34,35,36,39
5,6,12,19,21,28,35,37,42,44
5,6,14,15,23,24,32,33,41,42
5,7,11,16,18,22,27,30,41,45
5,8,10,16,21,28,32,33,39,44
5,10,11,19,20,27,28,33,41,42
5,11,12,18,24,25,31,37,43,44
6,7,8,9,11,12,13,16,17,21
6,7,13,14,20,21,29,36,42,43
6,9,10,12,13,29,31,32,35,38
7,8,9,10,18,19,20,29,30,40
8,9,10,11,23,24,25,38,39,40
8,13,16,21,24,29,32,37,40,45
9,10,11,14,15,16,32,33,37,38
9,11,13,22,24,26,32,41,43,45
12,13,14,15,22,32,33,34,35,36
12,15,17,19,20,22,24,25,27,32
16,17,18,19,29,35,36,37,38,39
