1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2,3,4,5,6,7,24,25,26,27,28,29,30,31
1,2,3,4,5,6,16,17,18,19,20,31,32,33,34
1,2,3,4,13,14,15,16,24,25,26,35,36,37,38
1,2,3,8,9,14,15,21,22,27,28,34,35,40,41
1,2,4,9,12,15,17,20,23,25,28,33,36,41,44
1,2,5,8,9,12,15,19,22,26,29,30,33,36,43
1,2,5,8,11,14,18,21,24,27,30,37,40,43,44
1,2,5,9,11,13,15,17,19,23,27,31,35,39,43
1,2,6,9,16,18,23,25,30,32,33,37,39,40,44
1,2,6,10,14,18,22,23,26,30,34,35,38,39,42
1,2,7,8,13,14,18,19,20,24,30,35,36,41,42
1,3,4,7,10,17,20,23,26,29,33,36,39,42,45
1,3,6,9,12,14,15,17,20,23,26,29,37,40,43
1,3,6,11,14,16,19,22,27,30,32,35,38,40,43
1,3,7,8,10,14,15,17,22,24,29,31,38,41,45
1,3,7,9,13,15,19,20,21,25,26,27,32,38,44
1,3,10,11,15,20,22,23,24,27,32,34,36,43,44
1,4,5,6,8,13,17,18,25,29,30,37,39,41,42
1,4,5,6,12,15,16,17,23,27,28,34,38,39,45
1,4,7,10,13,16,19,22,25,28,31,34,37,40,43
1,4,7,10,18,21,24,27,30,32,33,35,38,41,44
1,4,7,11,14,18,21,25,28,31,32,35,39,42,45
1,5,11,17,18,22,23,24,28,29,30,34,36,40,42
1,6,10,12,14,16,23,25,27,29,31,38,40,42,44
1,12,13,14,15,16,17,18,19,20,21,42,43,44,45
1,29,32,33,35,36,37,38,39,40,41,42,43,44,45
2,3,5,8,11,13,14,16,19,22,25,36,39,42,45
2,3,5,8,11,14,17,20,23,26,29,32,35,38,41
2,3,6,7,10,11,14,18,22,25,29,33,36,40,44
2,3,6,9,12,15,18,21,24,27,30,33,36,39,42
2,4,6,8,10,12,14,16,31,35,37,39,41,43,45
2,4,6,11,13,15,17,19,30,32,34,36,38,43,45
2,5,7,9,12,14,16,19,21,26,28,33,38,40,45
2,5,8,10,13,16,18,21,26,29,31,34,37,42,45
3,4,5,11,12,13,19,20,21,26,27,34,35,42,43
3,5,7,9,11,13,18,20,22,24,26,33,35,37,39
3,6,9,10,13,17,20,23,27,30,31,34,37,41,44
3,6,9,12,15,16,19,22,25,28,31,35,38,41,44
3,8,9,11,16,17,24,25,29,32,33,37,40,41,45
4,8,12,16,20,24,26,28,30,32,34,38,41,42,45
5,6,7,8,9,21,22,23,24,25,37,38,39,40,41
6,7,8,9,10,21,22,23,29,30,31,32,33,44,45
9,10,11,12,13,14,15,16,31,32,33,34,35,36,37
13,16,17,19,20,21,22,23,24,25,26,27,29,30,33
