1,2,3
4,5,6
7,8,9
10,11,12
13,14,15
16,17,18
19,20,21
22,23,24
25,26,27
28,29,30
31,32,33
34,35,36
37,38,39
40,41,42
43,44,45
1,16,31
2,17,32
3,18,33
4,19,34
5,20,35
6,21,36
7,22,37
8,23,38
9,24,39
10,25,40
11,26,41
12,27,42
13,28,43
14,29,44
15,30,45
7,28,34
1,5,9
18,22,41
14,22,45
8,27,33
14,20,42
18,21,29
12,14,26
19,30,31
1,10,45
31,37,41
3,20,25
1,4,32
17,19,40
11,36,37
10,22,43
9,32,37
1,18,34
25,41,44
17,31,44
11,22,42
9,35,43
1,23,42
21,33,38
6,13,35
2,24,40
9,14,18
15,26,28
14,16,19
2,15,33
5,29,42
26,30,37
3,9,13
1,17,24
16,33,37
3,11,44
3,8,15
12,30,40
4,17,28
22,27,36
1,11,14
2,7,39
31,35,38
4,18,26
28,32,39
3,7,31
13,18,40
5,38,41
4,39,41
5,19,24
19,36,38
11,21,32
30,41,43
13,24,31
2,20,36
17,20,43
20,33,34
16,29,34
6,28,38
5,22,30
9,10,36
28,36,40
3,10,23
7,15,29
21,31,39
6,16,43
2,35,44
7,17,36
32,35,45
10,28,33
4,36,44
17,37,45
20,23,41
10,13,26
26,33,39
5,14,39
6,11,34
13,22,25
11,23,43
24,25,29
23,33,36
12,16,38
13,16,21
21,24,37
10,24,44
15,22,35
3,16,24
5,7,44
6,20,39
4,7,27
2,9,42
12,18,37
2,25,28
7,16,30
9,15,20
25,34,37
27,28,45
8,24,30
17,23,34
1,12,39
4,13,29
2,21,30
3,12,41
9,16,27
11,18,25
8,25,43
9,22,38
7,13,41
30,33,42
19,29,37
6,8,14
24,26,42
7,24,32
2,19,23
1,19,25
2,4,8
2,6,26
3,6,32
7,18,42
17,26,35
7,10,38
3,21,27
14,23,25
12,20,28
4,21,40
26,32,43
25,36,45
6,12,19
10,27,39
11,20,45
8,17,41
5,40,45
20,29,38
1,8,44
16,39,40
12,22,34
15,31,40
5,23,31
4,33,45
2,16,45
9,23,28
6,25,31
1,6,41
3,5,37
7,12,33
14,31,34
15,34,43
18,19,28
7,14,35
1,21,22
3,19,26
6,23,27
3,17,38
18,20,31
22,39,44
24,41,45
8,21,45
6,9,17
14,37,40
6,42,44
11,13,17
18,27,44
14,17,21
14,24,43
16,32,41
10,14,41
17,30,39
8,10,16
3,4,42
9,31,45
3,36,39
2,12,43
11,30,38
5,12,32
1,33,43
16,35,42
12,13,36
13,20,37
32,38,42
24,34,38
5,16,36
5,21,25
7,21,43
9,21,41
5,11,28
15,23,37
20,30,32
11,15,19
9,33,44
7,19,45
2,5,27
13,39,42
27,29,41
15,24,36
18,30,36
34,40,44
6,10,15
4,10,37
29,32,36
2,11,29
34,42,45
27,38,43
4,24,35
26,38,40
5,8,34
4,31,43
1,27,30
4,16,25
8,29,35
23,29,39
3,14,30
16,22,28
8,37,42
15,25,38
10,21,35
16,26,44
1,7,20
1,35,40
19,27,35
11,27,31
18,23,32
11,33,35
18,39,43
21,28,42
22,29,40
8,31,36
8,11,40
27,32,40
12,23,44
28,35,41
22,26,31
4,9,30
6,18,24
3,40,43
26,29,45
8,19,22
17,29,33
5,10,17
5,13,33
8,20,26
6,7,40
12,15,21
13,38,44
13,30,34
20,24,27
10,32,34
19,33,41
2,18,38
25,30,35
28,37,44
15,32,44
5,15,18
15,17,42
4,14,38
10,31,42
12,17,25
13,23,45
2,34,41
13,19,32
4,20,22
6,22,33
19,42,43
7,23,26
9,12,29
1,26,36
9,26,34
